,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adv adj verb verb,,,,,,,,,,,,
adv adp,,,,,,,,,,,,
adv adp noun,,,,,,,,,,,,
adv adp noun noun,,,,,,,,,,,,
adv adv,,,,,,,,,,,,
adv adv adj,,,,,,,,,,,,
adv adv adv,,,,,,,,,,,,
adv adv adv propn,,,,,,,,,,,,
adv adv emoji,,,,,,,,,,,,
adv adv noun,,,,,,,,,,,,
adv adv noun propn,,,,,,,,,,,,
adv adv noun verb,,,,,,,,,,,,
adv adv num,,,,,,,,,,,,
adv adv num noun,,,,,,,,,,,,
adv adv pron,,,,,,,,,,,,
adv adv pron propn,,,,,,,,,,,,
adv adv propn,,,,,,,,,,,,
adv adv propn emoji,,,,,,,,,,,,
adv adv propn noun,,,,,,,,,,,,
adv adv verb,,,,,,,,,,,,
adv adv verb adv,,,,,,,,,,,,
adv adv verb noun,,,,,,,,,,,,
adv emoji,,,,,,,,,,,,
adv emoji emoji,,,,,,,,,,,,
adv intj,,,,,,,,,,,,
adv intj noun,,,,,,,,,,,,
adv intj propn,,,,,,,,,,,,
adv intj verb,,,,,,,,,,,,
adv intj verb verb,,,,,,,,,,,,
adv noun,,,,,,,,,,,,
adv noun adj,,,,,,,,,,,,
adv noun adj adj,,,,,,,,,,,,
adv noun adj noun,,,,,,,,,,,,
adv noun adj propn,,,,,,,,,,,,
adv noun adv,,,,,,,,,,,,
adv noun adv adj,,,,,,,,,,,,
adv noun adv verb,,,,,,,,,,,,
adv noun noun,,,,,,,,,,,,
adv noun noun adj,,,,,,,,,,,,
adv noun noun adv,,,,,,,,,,,,
adv noun noun noun,,,,,,,,,,,,
adv noun num,,,,,,,,,,,,
adv noun num noun,,,,,,,,,,,,
adv noun num propn,,,,,,,,,,,,
adv noun propn,,,,,,,,,,,,
adv noun propn noun,,,,,,,,,,,,
adv noun propn propn,,,,,,,,,,,,
adv noun verb,,,,,,,,,,,,
adv noun verb adj,,,,,,,,,,,,
adv noun verb noun,,,,,,,,,,,,
adv noun verb num,,,,,,,,,,,,
adv noun verb verb,,,,,,,,,,,,
adv num,,,,,,,,,,,,
adv num noun,,,,,,,,,,,,
adv num noun adj,,,,,,,,,,,,
adv num noun noun,,,,,,,,,,,,
adv num noun pron,,,,,,,,,,,,
adv num noun verb,,,,,,,,,,,,
adv num num,,,,,,,,,,,,
adv num num noun,,,,,,,,,,,,
adv pron,,,,,,,,,,,,
adv pron adj,,,,,,,,,,,,
adv pron adv,,,,,,,,,,,,
adv pron noun,,,,,,,,,,,,
adv pron noun adj,,,,,,,,,,,,
adv pron propn,,,,,,,,,,,,
adv pron propn propn,,,,,,,,,,,,
adv pron verb,,,,,,,,,,,,
adv pron verb adj,,,,,,,,,,,,
adv pron verb noun,,,,,,,,,,,,
adv pron verb pron,,,,,,,,,,,,
adv pron verb verb,,,,,,,,,,,,
adv propn,,,,,,,,,,,,
adv propn adj,,,,,,,,,,,,
adv propn adj adv,,,,,,,,,,,,
adv propn adv,,,,,,,,,,,,
adv propn adv adj,,,,,,,,,,,,
adv propn adv adv,,,,,,,,,,,,
adv propn emoji,,,,,,,,,,,,
adv propn noun,,,,,,,,,,,,
adv propn noun propn,,,,,,,,,,,,
adv propn propn,,,,,,,,,,,,
adv propn propn noun,,,,,,,,,,,,
adv propn verb,,,,,,,,,,,,
adv propn verb noun,,,,,,,,,,,,
adv propn verb verb,,,,,,,,,,,,
adv verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb adj,,,,,,,,,,,,
adv verb adj noun,,,,,,,,,,,,
adv verb adj propn,,,,,,,,,,,,
adv verb adp,,,,,,,,,,,,
adv verb adp verb,,,,,,,,,,,,
adv verb adv,,,,,,,,,,,,
adv verb adv adj,,,,,,,,,,,,
adv verb adv noun,,,,,,,,,,,,
adv verb adv propn,,,,,,,,,,,,
adv verb adv verb,,,,,,,,,,,,
adv verb emoji,,,,,,,,,,,,
adv verb noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb noun adj,,,,,,,,,,,,
adv verb noun adv,,,,,,,,,,,,
adv verb noun emoji,,,,,,,,,,,,
adv verb noun noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb noun pron,,,,,,,,,,,,
adv verb noun verb,,,,,,,,,,,,
adv verb num,,,,,,,,,,,,
adv verb num noun,,,,,,,,,,,,
adv verb pron,,,,,,,,,,,,
adv verb pron adv,,,,,,,,,,,,
adv verb pron pron,,,,,,,,,,,,
adv verb pron verb,,,,,,,,,,,,
adv verb propn,,,,,,,,,,,,
adv verb propn adv,,,,,,,,,,,,
adv verb propn noun,,,,,,,,,,,,
adv verb propn verb,,,,,,,,,,,,
adv verb verb,,,,,,,,,,,,
adv verb verb adp,,,,,,,,,,,,
adv verb verb noun,,,,,,,,,,,,
adv verb verb propn,,,,,,,,,,,,
emoji adj,,,,,,,,,,,,
emoji emoji,,,,,,,,,,,,
emoji emoji emoji,,,,,,,,,,,,
emoji emoji emoji emoji,,,,,,,,,,,,
emoji emoji emoji noun,,,,,,,,,,,,
emoji emoji noun,,,,,,,,,,,,
emoji emoji noun emoji,,,,,,,,,,,,
emoji intj,,,,,,,,,,,,
emoji intj verb,,,,,,,,,,,,
emoji noun,,,,,,,,,,,,
emoji noun adj,,,,,,,,,,,,
emoji noun adj noun,,,,,,,,,,,,
emoji noun emoji,,,,,,,,,,,,
emoji num,,,,,,,,,,,,
emoji num noun,,,,,,,,,,,,
emoji num noun verb,,,,,,,,,,,,
emoji num num,,,,,,,,,,,,
emoji propn,,,,,,,,,,,,
emoji propn propn,,,,,,,,,,,,
emoji verb,,,,,,,,,,,,
emoji verb adv,,,,,,,,,,,,
intj adj,,,,,,,,,,,,
intj adj adj,,,,,,,,,,,,
intj adj adj verb,,,,,,,,,,,,
intj adj intj,,,,,,,,,,,,
intj adj noun,,,,,,,,,,,,
intj adj noun noun,,,,,,,,,,,,
intj adj noun pron,,,,,,,,,,,,
intj adj noun propn,,,,,,,,,,,,
intj adj pron,,,,,,,,,,,,
intj adj pron verb,,,,,,,,,,,,
intj adj propn,,,,,,,,,,,,
intj adj propn verb,,,,,,,,,,,,
intj adj verb,,,,,,,,,,,,
intj adj verb emoji,,,,,,,,,,,,
intj adj verb propn,,,,,,,,,,,,
intj adp,,,,,,,,,,,,
intj adv,,,,,,,,,,,,
intj adv adj,,,,,,,,,,,,
intj adv adj noun,,,,,,,,,,,,
intj adv adv,,,,,,,,,,,,
intj adv intj,,,,,,,,,,,,
intj adv intj propn,,,,,,,,,,,,
intj adv noun,,,,,,,,,,,,
intj adv noun adj,,,,,,,,,,,,
intj adv noun verb,,,,,,,,,,,,
intj adv verb,,,,,,,,,,,,
intj adv verb adv,,,,,,,,,,,,
intj emoji,,,,,,,,,,,,
intj intj,,,,,,,,,,,,
intj intj adj,,,,,,,,,,,,
intj intj adj noun,,,,,,,,,,,,
intj intj intj,,,,,,,,,,,,
intj intj intj propn,,,,,,,,,,,,
intj intj noun,,,,,,,,,,,,
intj intj noun verb,,,,,,,,,,,,
intj intj num,,,,,,,,,,,,
intj intj num intj,,,,,,,,,,,,
intj intj pron,,,,,,,,,,,,
intj intj pron adj,,,,,,,,,,,,
intj intj pron verb,,,,,,,,,,,,
intj intj propn,,,,,,,,,,,,
intj intj propn propn,,,,,,,,,,,,
intj intj verb,,,,,,,,,,,,
intj intj verb adj,,,,,,,,,,,,
intj intj verb verb,,,,,,,,,,,,
intj noun,,,,,,,,,,,,
intj noun adj,,,,,,,,,,,,
intj noun adj noun,,,,,,,,,,,,
intj noun adj propn,,,,,,,,,,,,
intj noun adj verb,,,,,,,,,,,,
intj noun adv,,,,,,,,,,,,
intj noun adv verb,,,,,,,,,,,,
intj noun emoji,,,,,,,,,,,,
intj noun intj,,,,,,,,,,,,
intj noun intj adj,,,,,,,,,,,,
intj noun noun,,,,,,,,,,,,
intj noun noun noun,,,,,,,,,,,,
intj noun pron,,,,,,,,,,,,
intj noun pron noun,,,,,,,,,,,,
intj noun propn,,,,,,,,,,,,
intj noun propn noun,,,,,,,,,,,,
intj noun verb,,,,,,,,,,,,
intj noun verb adj,,,,,,,,,,,,
intj noun verb noun,,,,,,,,,,,,
intj noun verb num,,,,,,,,,,,,
intj noun verb verb,,,,,,,,,,,,
