,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj cconj intj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj cconj intj propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj cconj noun,,,,,,,,,,,,
adj cconj noun aux,,,,,,,,,,,,
adj cconj noun noun,,,,,,,,,,,,
adj cconj noun verb,,,,,,,,,,,,
adj cconj pron,,,,,,,,,,,,
adj cconj pron det,,,,,,,,,,,,
adj cconj pron verb,,,,,,,,,,,,
adj cconj propn,,,,,,,,,,,,
adj cconj propn cconj,,,,,,,,,,,,
adj cconj propn verb,,,,,,,,,,,,
adj cconj sconj,,,,,,,,,,,,
adj cconj sconj adp,,,,,,,,,,,,
adj cconj verb,,,,,,,,,,,,
adj cconj verb adj,,,,,,,,,,,,
adj cconj verb adp,,,,,,,,,,,,
adj cconj verb adv,,,,,,,,,,,,
adj cconj verb det,,,,,,,,,,,,
adj cconj verb num,,,,,,,,,,,,
adj det,,,,,,,,,,,,
adj det noun,,,,,,,,,,,,
adj det noun adv,,,,,,,,,,,,
adj det noun aux,,,,,,,,,,,,
adj det noun cconj,,,,,,,,,,,,
adj det noun det,,,,,,,,,,,,
adj det noun punct,,,,,,,,,,,,
adj det noun verb,,,,,,,,,,,,
adj det num,,,,,,,,,,,,
adj det num noun,,,,,,,,,,,,
adj det punct,,,,,,,,,,,,
adj det punct noun,,,,,,,,,,,,
adj det punct punct,,,,,,,,,,,,
adj det verb,,,,,,,,,,,,
adj det verb det,,,,,,,,,,,,
adj emoji,,,,,,,,,,,,
adj emoji adp,,,,,,,,,,,,
adj emoji adp noun,,,,,,,,,,,,
adj emoji emoji,,,,,,,,,,,,
adj emoji emoji emoji,,,,,,,,,,,,
adj emoji emoji verb,,,,,,,,,,,,
adj emoji pron,,,,,,,,,,,,
adj emoji pron aux,,,,,,,,,,,,
adj emoji verb,,,,,,,,,,,,
adj intj,,,,,,,,,,,,
adj intj adv,,,,,,,,,,,,
adj intj adv adj,,,,,,,,,,,,
adj intj intj,,,,,,,,,,,,
adj intj intj intj,,,,,,,,,,,,
adj intj punct,,,,,,,,,,,,
adj intj punct punct,,,,,,,,,,,,
adj intj verb,,,,,,,,,,,,
adj intj verb adp,,,,,,,,,,,,
adj noun,0.39279220242478635,0.4411128091213043,0.6546536707079772,0.15830242337545783,-0.6546536707079772,0.15830242337545783,-0.39279220242478635,0.4411128091213043,0.13093073414159545,0.8047261622231061,-0.13093073414159545,0.8047261622231061
adj noun adj,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun adj noun,,,,,,,,,,,,
adj noun adj punct,,,,,,,,,,,,
adj noun adp,,,,,,,,,,,,
adj noun adp adj,,,,,,,,,,,,
adj noun adp adp,,,,,,,,,,,,
adj noun adp adv,,,,,,,,,,,,
adj noun adp det,,,,,,,,,,,,
adj noun adp emoji,,,,,,,,,,,,
adj noun adp noun,,,,,,,,,,,,
adj noun adp pron,,,,,,,,,,,,
adj noun adp propn,,,,,,,,,,,,
adj noun adp verb,,,,,,,,,,,,
adj noun adv,,,,,,,,,,,,
adj noun adv adj,,,,,,,,,,,,
adj noun adv adp,,,,,,,,,,,,
adj noun adv adv,,,,,,,,,,,,
adj noun adv aux,,,,,,,,,,,,
adj noun adv cconj,,,,,,,,,,,,
adj noun adv det,,,,,,,,,,,,
adj noun adv noun,,,,,,,,,,,,
adj noun adv pron,,,,,,,,,,,,
adj noun adv punct,,,,,,,,,,,,
adj noun adv sconj,,,,,,,,,,,,
adj noun adv verb,,,,,,,,,,,,
adj noun aux,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133
adj noun aux adj,,,,,,,,,,,,
adj noun aux adp,,,,,,,,,,,,
adj noun aux adv,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun aux det,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun aux noun,,,,,,,,,,,,
adj noun aux num,,,,,,,,,,,,
adj noun aux pron,,,,,,,,,,,,
adj noun aux propn,,,,,,,,,,,,
adj noun aux punct,,,,,,,,,,,,
adj noun aux verb,,,,,,,,,,,,
adj noun cconj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun cconj adv,,,,,,,,,,,,
adj noun cconj aux,,,,,,,,,,,,
adj noun cconj det,,,,,,,,,,,,
adj noun cconj intj,,,,,,,,,,,,
adj noun cconj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun cconj pron,,,,,,,,,,,,
adj noun cconj propn,,,,,,,,,,,,
adj noun cconj sconj,,,,,,,,,,,,
adj noun cconj verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun det,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun det adv,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun det aux,,,,,,,,,,,,
adj noun det det,,,,,,,,,,,,
adj noun det noun,,,,,,,,,,,,
adj noun det pron,,,,,,,,,,,,
adj noun det verb,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun emoji,,,,,,,,,,,,
adj noun emoji emoji,,,,,,,,,,,,
adj noun intj,,,,,,,,,,,,
adj noun intj verb,,,,,,,,,,,,
adj noun noun,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun noun adp,,,,,,,,,,,,
adj noun noun adv,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun noun aux,,,,,,,,,,,,
adj noun noun cconj,,,,,,,,,,,,
adj noun noun det,,,,,,,,,,,,
adj noun noun emoji,,,,,,,,,,,,
adj noun noun noun,,,,,,,,,,,,
adj noun noun pron,,,,,,,,,,,,
adj noun noun propn,,,,,,,,,,,,
adj noun noun punct,,,,,,,,,,,,
adj noun noun sconj,,,,,,,,,,,,
adj noun noun verb,,,,,,,,,,,,
adj noun num,,,,,,,,,,,,
adj noun num adp,,,,,,,,,,,,
adj noun num noun,,,,,,,,,,,,
adj noun pron,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj noun pron adj,,,,,,,,,,,,
adj noun pron adv,,,,,,,,,,,,
adj noun pron aux,,,,,,,,,,,,
adj noun pron noun,,,,,,,,,,,,
adj noun pron propn,,,,,,,,,,,,
adj noun pron verb,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adj noun propn,,,,,,,,,,,,
adj noun propn aux,,,,,,,,,,,,
adj noun propn emoji,,,,,,,,,,,,
adj noun propn intj,,,,,,,,,,,,
adj noun propn propn,,,,,,,,,,,,
adj noun propn punct,,,,,,,,,,,,
adj noun propn verb,,,,,,,,,,,,
adj noun punct,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993,0.46475800154489,0.3530568618495133
adj noun punct adj,,,,,,,,,,,,
adj noun punct adp,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun punct adv,,,,,,,,,,,,
adj noun punct cconj,,,,,,,,,,,,
adj noun punct det,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun punct emoji,,,,,,,,,,,,
adj noun punct intj,,,,,,,,,,,,
adj noun punct noun,,,,,,,,,,,,
adj noun punct num,,,,,,,,,,,,
adj noun punct pron,,,,,,,,,,,,
adj noun punct propn,,,,,,,,,,,,
adj noun punct punct,,,,,,,,,,,,
adj noun punct sconj,,,,,,,,,,,,
adj noun punct verb,,,,,,,,,,,,
adj noun sconj,,,,,,,,,,,,
adj noun sconj adp,,,,,,,,,,,,
adj noun sconj det,,,,,,,,,,,,
adj noun sconj noun,,,,,,,,,,,,
adj noun sconj pron,,,,,,,,,,,,
adj noun sconj propn,,,,,,,,,,,,
adj noun sconj verb,,,,,,,,,,,,
adj noun sym,,,,,,,,,,,,
adj noun sym verb,,,,,,,,,,,,
adj noun verb,-0.5313689313240573,0.27796339331848685,0.6642111641550715,0.15020042233101136,-0.5313689313240573,0.27796339331848685,0.3985266984930429,0.43385766067017734,0.13284223283101432,0.8019087881019875,-0.13284223283101432,0.8019087881019875
adj noun verb adj,,,,,,,,,,,,
adj noun verb adp,,,,,,,,,,,,
adj noun verb adv,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun verb aux,,,,,,,,,,,,
adj noun verb cconj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun verb det,,,,,,,,,,,,
adj noun verb emoji,,,,,,,,,,,,
adj noun verb noun,,,,,,,,,,,,
adj noun verb pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun verb propn,,,,,,,,,,,,
adj noun verb punct,,,,,,,,,,,,
adj noun verb verb,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848
adj num,,,,,,,,,,,,
adj num adp,,,,,,,,,,,,
adj num adp pron,,,,,,,,,,,,
adj num adv,,,,,,,,,,,,
adj num adv aux,,,,,,,,,,,,
adj num aux,,,,,,,,,,,,
adj num aux det,,,,,,,,,,,,
adj num det,,,,,,,,,,,,
adj num det verb,,,,,,,,,,,,
adj num noun,,,,,,,,,,,,
adj num noun adj,,,,,,,,,,,,
adj num noun cconj,,,,,,,,,,,,
adj num noun noun,,,,,,,,,,,,
adj num noun verb,,,,,,,,,,,,
adj num pron,,,,,,,,,,,,
adj num pron noun,,,,,,,,,,,,
adj pron,,,,,,,,,,,,
adj pron adj,,,,,,,,,,,,
adj pron adj verb,,,,,,,,,,,,
adj pron adv,,,,,,,,,,,,
adj pron adv noun,,,,,,,,,,,,
adj pron aux,,,,,,,,,,,,
adj pron aux adj,,,,,,,,,,,,
adj pron aux adp,,,,,,,,,,,,
adj pron aux adv,,,,,,,,,,,,
adj pron aux det,,,,,,,,,,,,
adj pron aux noun,,,,,,,,,,,,
adj pron aux num,,,,,,,,,,,,
adj pron aux pron,,,,,,,,,,,,
adj pron aux propn,,,,,,,,,,,,
adj pron aux punct,,,,,,,,,,,,
adj pron aux verb,,,,,,,,,,,,
adj pron det,,,,,,,,,,,,
adj pron det adj,,,,,,,,,,,,
adj pron noun,,,,,,,,,,,,
adj pron noun punct,,,,,,,,,,,,
adj pron punct,,,,,,,,,,,,
adj pron punct cconj,,,,,,,,,,,,
adj pron sconj,,,,,,,,,,,,
adj pron sconj noun,,,,,,,,,,,,
adj pron verb,,,,,,,,,,,,
adj pron verb adp,,,,,,,,,,,,
adj pron verb noun,,,,,,,,,,,,
adj pron verb pron,,,,,,,,,,,,
adj pron verb propn,,,,,,,,,,,,
adj pron verb verb,,,,,,,,,,,,
adj propn,-0.4242640687119286,0.40178766311618047,-0.4242640687119286,0.40178766311618047,-0.4242640687119286,0.40178766311618047,0.5656854249492381,0.24198153056802077,0.5656854249492381,0.24198153056802077,0.14142135623730953,0.7892821792064089
adj propn adj,,,,,,,,,,,,
adj propn adj propn,,,,,,,,,,,,
adj propn adp,,,,,,,,,,,,
adj propn adp propn,,,,,,,,,,,,
adj propn adv,,,,,,,,,,,,
adj propn adv adv,,,,,,,,,,,,
adj propn adv aux,,,,,,,,,,,,
adj propn adv verb,,,,,,,,,,,,
adj propn aux,,,,,,,,,,,,
adj propn aux pron,,,,,,,,,,,,
adj propn aux propn,,,,,,,,,,,,
adj propn aux verb,,,,,,,,,,,,
adj propn cconj,,,,,,,,,,,,
adj propn cconj verb,,,,,,,,,,,,
adj propn det,,,,,,,,,,,,
adj propn det noun,,,,,,,,,,,,
adj propn det verb,,,,,,,,,,,,
adj propn emoji,,,,,,,,,,,,
adj propn emoji emoji,,,,,,,,,,,,
adj propn noun,,,,,,,,,,,,
adj propn noun adp,,,,,,,,,,,,
adj propn noun adv,,,,,,,,,,,,
adj propn noun noun,,,,,,,,,,,,
adj propn noun num,,,,,,,,,,,,
adj propn noun punct,,,,,,,,,,,,
adj propn noun verb,,,,,,,,,,,,
adj propn pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj propn pron aux,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj propn pron noun,,,,,,,,,,,,
adj propn pron verb,,,,,,,,,,,,
adj propn propn,,,,,,,,,,,,
adj propn propn adv,,,,,,,,,,,,
adj propn propn aux,,,,,,,,,,,,
adj propn propn cconj,,,,,,,,,,,,
adj propn propn noun,,,,,,,,,,,,
adj propn propn propn,,,,,,,,,,,,
adj propn propn punct,,,,,,,,,,,,
adj propn propn verb,,,,,,,,,,,,
adj propn punct,,,,,,,,,,,,
adj propn punct noun,,,,,,,,,,,,
adj propn punct pron,,,,,,,,,,,,
adj propn punct punct,,,,,,,,,,,,
adj propn punct verb,,,,,,,,,,,,
adj propn verb,,,,,,,,,,,,
