,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
intj verb pron,,,,,,,,,,,,
intj verb propn,,,,,,,,,,,,
intj verb verb,,,,,,,,,,,,
noun,0.6956083436402525,0.12487982574290808,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,0.1391216687280505,0.7926638356375505,0.41736500618415145,0.4103036364236828
noun adj,,,,,,,,,,,,
noun adj adj,,,,,,,,,,,,
noun adj adv,,,,,,,,,,,,
noun adj emoji,,,,,,,,,,,,
noun adj intj,,,,,,,,,,,,
noun adj noun,,,,,,,,,,,,
noun adj num,,,,,,,,,,,,
noun adj pron,,,,,,,,,,,,
noun adj propn,,,,,,,,,,,,
noun adj verb,,,,,,,,,,,,
noun adv,,,,,,,,,,,,
noun adv adj,,,,,,,,,,,,
noun adv adv,,,,,,,,,,,,
noun adv emoji,,,,,,,,,,,,
noun adv intj,,,,,,,,,,,,
noun adv noun,,,,,,,,,,,,
noun adv pron,,,,,,,,,,,,
noun adv propn,,,,,,,,,,,,
noun adv verb,,,,,,,,,,,,
noun emoji,,,,,,,,,,,,
noun emoji adj,,,,,,,,,,,,
noun emoji adv,,,,,,,,,,,,
noun emoji emoji,,,,,,,,,,,,
noun emoji verb,,,,,,,,,,,,
noun intj,,,,,,,,,,,,
noun intj adj,,,,,,,,,,,,
noun intj adv,,,,,,,,,,,,
noun intj emoji,,,,,,,,,,,,
noun intj intj,,,,,,,,,,,,
noun intj noun,,,,,,,,,,,,
noun intj num,,,,,,,,,,,,
noun intj propn,,,,,,,,,,,,
noun intj verb,,,,,,,,,,,,
noun noun,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
noun noun adj,,,,,,,,,,,,
noun noun adv,,,,,,,,,,,,
noun noun emoji,,,,,,,,,,,,
noun noun intj,,,,,,,,,,,,
noun noun noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
noun noun num,,,,,,,,,,,,
noun noun pron,,,,,,,,,,,,
noun noun propn,,,,,,,,,,,,
noun noun verb,,,,,,,,,,,,
noun num,,,,,,,,,,,,
noun num adj,,,,,,,,,,,,
noun num adv,,,,,,,,,,,,
noun num emoji,,,,,,,,,,,,
noun num noun,,,,,,,,,,,,
noun num num,,,,,,,,,,,,
noun num pron,,,,,,,,,,,,
noun num propn,,,,,,,,,,,,
noun num verb,,,,,,,,,,,,
noun pron,,,,,,,,,,,,
noun pron adj,,,,,,,,,,,,
noun pron adv,,,,,,,,,,,,
noun pron noun,,,,,,,,,,,,
noun pron pron,,,,,,,,,,,,
noun pron propn,,,,,,,,,,,,
noun pron verb,,,,,,,,,,,,
noun propn,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993
noun propn adj,,,,,,,,,,,,
noun propn adv,,,,,,,,,,,,
noun propn emoji,,,,,,,,,,,,
noun propn intj,,,,,,,,,,,,
noun propn noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
noun propn num,,,,,,,,,,,,
noun propn pron,,,,,,,,,,,,
noun propn propn,,,,,,,,,,,,
noun propn verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
noun verb,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
noun verb adj,,,,,,,,,,,,
noun verb adv,,,,,,,,,,,,
noun verb emoji,,,,,,,,,,,,
noun verb intj,,,,,,,,,,,,
noun verb noun,,,,,,,,,,,,
noun verb num,,,,,,,,,,,,
noun verb pron,,,,,,,,,,,,
noun verb propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
noun verb verb,,,,,,,,,,,,
num,,,,,,,,,,,,
num adj,,,,,,,,,,,,
num adj adj,,,,,,,,,,,,
num adj noun,,,,,,,,,,,,
num adj verb,,,,,,,,,,,,
num adv,,,,,,,,,,,,
num adv adj,,,,,,,,,,,,
num adv verb,,,,,,,,,,,,
num emoji,,,,,,,,,,,,
num intj,,,,,,,,,,,,
num noun,,,,,,,,,,,,
num noun adj,,,,,,,,,,,,
num noun adv,,,,,,,,,,,,
num noun emoji,,,,,,,,,,,,
num noun noun,,,,,,,,,,,,
num noun num,,,,,,,,,,,,
num noun pron,,,,,,,,,,,,
num noun propn,,,,,,,,,,,,
num noun verb,,,,,,,,,,,,
num num,,,,,,,,,,,,
num num adj,,,,,,,,,,,,
num num noun,,,,,,,,,,,,
num num num,,,,,,,,,,,,
num num propn,,,,,,,,,,,,
num pron,,,,,,,,,,,,
num pron adj,,,,,,,,,,,,
num pron adv,,,,,,,,,,,,
num pron verb,,,,,,,,,,,,
num propn,,,,,,,,,,,,
num propn intj,,,,,,,,,,,,
num propn noun,,,,,,,,,,,,
num propn propn,,,,,,,,,,,,
num propn verb,,,,,,,,,,,,
num verb,,,,,,,,,,,,
num verb adj,,,,,,,,,,,,
num verb noun,,,,,,,,,,,,
num verb verb,,,,,,,,,,,,
pron,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,0.7745966692414834,0.07048399691021993
pron adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
pron adj adj,,,,,,,,,,,,
pron adj emoji,,,,,,,,,,,,
pron adj intj,,,,,,,,,,,,
pron adj noun,,,,,,,,,,,,
pron adj num,,,,,,,,,,,,
pron adj pron,,,,,,,,,,,,
pron adj propn,,,,,,,,,,,,
pron adj verb,,,,,,,,,,,,
pron adv,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
pron adv adj,,,,,,,,,,,,
pron adv adv,,,,,,,,,,,,
pron adv noun,,,,,,,,,,,,
pron adv propn,,,,,,,,,,,,
pron adv verb,,,,,,,,,,,,
pron emoji,,,,,,,,,,,,
pron emoji emoji,,,,,,,,,,,,
pron intj,,,,,,,,,,,,
pron intj verb,,,,,,,,,,,,
pron noun,,,,,,,,,,,,
pron noun adj,,,,,,,,,,,,
pron noun adv,,,,,,,,,,,,
pron noun emoji,,,,,,,,,,,,
pron noun noun,,,,,,,,,,,,
pron noun num,,,,,,,,,,,,
pron noun pron,,,,,,,,,,,,
pron noun propn,,,,,,,,,,,,
pron noun verb,,,,,,,,,,,,
pron num,,,,,,,,,,,,
pron num noun,,,,,,,,,,,,
pron pron,,,,,,,,,,,,
pron pron adj,,,,,,,,,,,,
pron pron adv,,,,,,,,,,,,
pron pron verb,,,,,,,,,,,,
pron propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
pron propn emoji,,,,,,,,,,,,
pron propn noun,,,,,,,,,,,,
pron propn pron,,,,,,,,,,,,
pron propn propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
pron propn verb,,,,,,,,,,,,
pron verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
pron verb adj,,,,,,,,,,,,
pron verb adv,,,,,,,,,,,,
pron verb emoji,,,,,,,,,,,,
pron verb intj,,,,,,,,,,,,
pron verb noun,,,,,,,,,,,,
pron verb num,,,,,,,,,,,,
pron verb pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
pron verb propn,,,,,,,,,,,,
pron verb verb,,,,,,,,,,,,
propn,0.13284223283101432,0.8019087881019875,-0.5313689313240573,0.27796339331848685,-0.5313689313240573,0.27796339331848685,-0.13284223283101432,0.8019087881019875,0.3985266984930429,0.43385766067017734,0.6642111641550715,0.15020042233101136
propn adj,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133
propn adj adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn adj adv,,,,,,,,,,,,
propn adj emoji,,,,,,,,,,,,
propn adj intj,,,,,,,,,,,,
propn adj noun,,,,,,,,,,,,
propn adj num,,,,,,,,,,,,
propn adj pron,,,,,,,,,,,,
propn adj propn,,,,,,,,,,,,
propn adj verb,,,,,,,,,,,,
propn adv,,,,,,,,,,,,
propn adv adj,,,,,,,,,,,,
propn adv adv,,,,,,,,,,,,
propn adv emoji,,,,,,,,,,,,
propn adv intj,,,,,,,,,,,,
propn adv noun,,,,,,,,,,,,
propn adv num,,,,,,,,,,,,
propn adv pron,,,,,,,,,,,,
propn adv propn,,,,,,,,,,,,
propn adv verb,,,,,,,,,,,,
propn emoji,,,,,,,,,,,,
propn emoji emoji,,,,,,,,,,,,
propn emoji noun,,,,,,,,,,,,
propn emoji pron,,,,,,,,,,,,
propn emoji propn,,,,,,,,,,,,
propn emoji verb,,,,,,,,,,,,
propn intj,,,,,,,,,,,,
propn intj adv,,,,,,,,,,,,
propn intj emoji,,,,,,,,,,,,
propn intj intj,,,,,,,,,,,,
propn intj noun,,,,,,,,,,,,
propn intj num,,,,,,,,,,,,
propn intj propn,,,,,,,,,,,,
propn intj verb,,,,,,,,,,,,
propn noun,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,0.7745966692414834,0.07048399691021993
propn noun adj,,,,,,,,,,,,
propn noun adv,,,,,,,,,,,,
propn noun emoji,,,,,,,,,,,,
propn noun intj,,,,,,,,,,,,
propn noun noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
propn noun num,,,,,,,,,,,,
propn noun pron,,,,,,,,,,,,
propn noun propn,,,,,,,,,,,,
propn noun verb,,,,,,,,,,,,
propn num,,,,,,,,,,,,
propn num adj,,,,,,,,,,,,
propn num adv,,,,,,,,,,,,
propn num noun,,,,,,,,,,,,
propn num propn,,,,,,,,,,,,
propn num verb,,,,,,,,,,,,
propn pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn pron adj,,,,,,,,,,,,
propn pron adv,,,,,,,,,,,,
propn pron emoji,,,,,,,,,,,,
propn pron noun,,,,,,,,,,,,
propn pron pron,,,,,,,,,,,,
propn pron propn,,,,,,,,,,,,
propn pron verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn propn adj,,,,,,,,,,,,
propn propn adv,,,,,,,,,,,,
propn propn emoji,,,,,,,,,,,,
propn propn intj,,,,,,,,,,,,
propn propn noun,,,,,,,,,,,,
propn propn num,,,,,,,,,,,,
propn propn pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn propn propn,,,,,,,,,,,,
propn propn verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
propn verb,0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,0.1391216687280505,0.7926638356375505,0.6956083436402525,0.12487982574290808
propn verb adj,,,,,,,,,,,,
propn verb adv,,,,,,,,,,,,
propn verb emoji,,,,,,,,,,,,
