,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
emoji emoji emoji,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
emoji emoji emoji emoji,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
emoji emoji emoji noun,,,,,,,,,,,,
emoji emoji emoji propn,,,,,,,,,,,,
emoji emoji emoji verb,,,,,,,,,,,,
emoji emoji noun,,,,,,,,,,,,
emoji emoji noun adj,,,,,,,,,,,,
emoji emoji noun pron,,,,,,,,,,,,
emoji emoji pron,,,,,,,,,,,,
emoji emoji pron verb,,,,,,,,,,,,
emoji emoji propn,,,,,,,,,,,,
emoji emoji propn propn,,,,,,,,,,,,
emoji emoji verb,,,,,,,,,,,,
emoji intj,,,,,,,,,,,,
emoji noun,,,,,,,,,,,,
emoji noun adj,,,,,,,,,,,,
emoji noun adj noun,,,,,,,,,,,,
emoji noun emoji,,,,,,,,,,,,
emoji noun emoji noun,,,,,,,,,,,,
emoji noun emoji propn,,,,,,,,,,,,
emoji noun noun,,,,,,,,,,,,
emoji noun pron,,,,,,,,,,,,
emoji noun pron verb,,,,,,,,,,,,
emoji noun propn,,,,,,,,,,,,
emoji noun propn propn,,,,,,,,,,,,
emoji pron,,,,,,,,,,,,
emoji pron verb,,,,,,,,,,,,
emoji pron verb propn,,,,,,,,,,,,
emoji propn,,,,,,,,,,,,
emoji propn emoji,,,,,,,,,,,,
emoji propn emoji propn,,,,,,,,,,,,
emoji propn emoji verb,,,,,,,,,,,,
emoji propn noun,,,,,,,,,,,,
emoji propn noun emoji,,,,,,,,,,,,
emoji propn propn,,,,,,,,,,,,
emoji propn propn propn,,,,,,,,,,,,
emoji verb,,,,,,,,,,,,
emoji verb emoji,,,,,,,,,,,,
emoji verb emoji verb,,,,,,,,,,,,
intj adj,,,,,,,,,,,,
intj adj adj,,,,,,,,,,,,
intj adj adj num,,,,,,,,,,,,
intj adj noun,,,,,,,,,,,,
intj adj noun adv,,,,,,,,,,,,
intj adj noun noun,,,,,,,,,,,,
intj adj noun propn,,,,,,,,,,,,
intj adj noun verb,,,,,,,,,,,,
intj adj propn,,,,,,,,,,,,
intj adj propn noun,,,,,,,,,,,,
intj adp,,,,,,,,,,,,
intj adp noun,,,,,,,,,,,,
intj adp noun noun,,,,,,,,,,,,
intj adv,,,,,,,,,,,,
intj adv pron,,,,,,,,,,,,
intj adv pron verb,,,,,,,,,,,,
intj emoji,,,,,,,,,,,,
intj emoji adp,,,,,,,,,,,,
intj emoji adp emoji,,,,,,,,,,,,
intj emoji noun,,,,,,,,,,,,
intj emoji noun adj,,,,,,,,,,,,
intj intj,,,,,,,,,,,,
intj intj adj,,,,,,,,,,,,
intj intj adj noun,,,,,,,,,,,,
intj intj adp,,,,,,,,,,,,
intj intj adp noun,,,,,,,,,,,,
intj intj intj,,,,,,,,,,,,
intj intj intj intj,,,,,,,,,,,,
intj intj intj noun,,,,,,,,,,,,
intj intj intj propn,,,,,,,,,,,,
intj intj intj verb,,,,,,,,,,,,
intj intj noun,,,,,,,,,,,,
intj intj noun adj,,,,,,,,,,,,
intj intj noun noun,,,,,,,,,,,,
intj intj pron,,,,,,,,,,,,
intj intj pron adv,,,,,,,,,,,,
intj intj propn,,,,,,,,,,,,
intj intj propn propn,,,,,,,,,,,,
intj intj propn verb,,,,,,,,,,,,
intj intj verb,,,,,,,,,,,,
intj intj verb noun,,,,,,,,,,,,
intj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
intj noun adj,,,,,,,,,,,,
intj noun adj noun,,,,,,,,,,,,
intj noun emoji,,,,,,,,,,,,
intj noun emoji emoji,,,,,,,,,,,,
intj noun noun,,,,,,,,,,,,
intj noun noun noun,,,,,,,,,,,,
intj noun noun verb,,,,,,,,,,,,
intj noun pron,,,,,,,,,,,,
intj noun pron verb,,,,,,,,,,,,
intj noun verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704
