,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
_rsbndjtmaga _rsbndjtmaga,,,,,,
_rsbndjtmaga _rsbndjtmaga _rsbndjtmaga,,,,,,
_rsbndjtmaga _rsbnkag,,,,,,
_rsbndjtmaga _rsbnusa,,,,,,
_rsbndonpunish _rsbn2nda,,,,,,
_rsbndonpunish _rsbn2nda _rsbn2nda,,,,,,
_rsbndonpunish _rsbndonpunish,,,,,,
_rsbndonpunish _rsbndonpunish _rsbndonpunish,,,,,,
_rsbndonpunish _rsbntrump,,,,,,
_rsbndonpunish _rsbntrump _rsbndonpunish,,,,,,
_rsbneagle _rsbngovote,,,,,,
_rsbneagle _rsbngovote _rsbneagle,,,,,,
_rsbnflotus _rsbnflotus,,,,,,
_rsbnflotus _rsbnflotus _rsbnflotus,,,,,,
_rsbngenflynn _rsbngenflynn,,,,,,
_rsbngenflynn _rsbngenflynn _rsbngenflynn,,,,,,
_rsbngovote _rsbnblueline,,,,,,
_rsbngovote _rsbnblueline _rsbngovote,,,,,,
_rsbngovote _rsbneagle,,,,,,
_rsbngovote _rsbneagle _rsbngovote,,,,,,
_rsbngovote _rsbngovote,,,,,,
_rsbngovote _rsbngovote _rsbngovote,,,,,,
_rsbnjesus _rsbnjesus,,,,,,
_rsbnjesus _rsbnjesus _rsbnjesus,,,,,,
_rsbnkag _rsbndjt,,,,,,
_rsbnkag _rsbndjt _rsbnkag,,,,,,
_rsbnkag _rsbndjtmaga,,,,,,
_rsbnkag _rsbnkag,,,,,,
_rsbnkag _rsbnkag _rsbnkag,,,,,,
_rsbnkayleigh _rsbnkayleigh,,,,,,
_rsbnlogo _rsbnlogo,,,,,,
_rsbnlogo _rsbnlogo _rsbnlogo,,,,,,
_rsbnlogo _rsbnqanon,,,,,,
_rsbnlogo _rsbnusa,,,,,,
_rsbnlogo rsbn,,,,,,
_rsbnlogo thank,,,,,,
_rsbnloltrump _rsbnloltrump,,,,,,
_rsbnmagahat _rsbndjt,,,,,,
_rsbnmagahat _rsbnmagahat,,,,,,
_rsbnmagahat _rsbnmagahat _rsbnmagahat,,,,,,
_rsbnmagahat _rsbntrump,,,,,,
_rsbnmagalion _rsbnrnc,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
_rsbnnojoe _rsbnnojoe,,,,,,
_rsbnnojoe _rsbnnojoe _rsbnnojoe,,,,,,
_rsbnpence _rsbnpence,,,,,,
_rsbnpence _rsbnpence _rsbnpence,,,,,,
_rsbnpoflotus _rsbnpoflotus,,,,,,
_rsbnprayerwall _rsbnprayerwall,,,,,,
_rsbnprayerwall _rsbnprayerwall _rsbnprayerwall,,,,,,
_rsbnqanon _rsbnqanon,,,,,,
_rsbnqanon _rsbnusa,,,,,,
_rsbnqanon _rsbnusa _rsbnqanon,,,,,,
_rsbnredcalif _rsbnredcalif,,,,,,
_rsbnredcalif _rsbnredcalif _rsbnredcalif,,,,,,
_rsbnredcalif _rsbnredcalif _rsbnusa2,,,,,,
_rsbnredcalif _rsbntrump,,,,,,
_rsbnredcalif _rsbntrump _rsbnredcalif,,,,,,
_rsbnredcalif _rsbnusa2,,,,,,
_rsbnredcalif _rsbnusa2 _rsbnredcalif,,,,,,
_rsbnredcalif _rsbnusa2 _rsbnusa2,,,,,,
_rsbnredwave _rsbnredwave,,,,,,
_rsbnredwave _rsbnredwave _rsbnredwave,,,,,,
_rsbnrnc _rsbnrnc,,,,,,
_rsbnrnc _rsbnrnc _rsbnrnc,,,,,,
_rsbnsuperman _rsbnsuperman,,,,,,
_rsbnsuperman _rsbnsuperman _rsbnsuperman,,,,,,
_rsbntds _rsbntds,,,,,,
_rsbntds _rsbntds _rsbntds,,,,,,
_rsbntrump _rsbndonpunish,,,,,,
_rsbntrump _rsbndonpunish _rsbntrump,,,,,,
_rsbntrump _rsbnredcalif,,,,,,
_rsbntrump _rsbnredcalif _rsbntrump,,,,,,
_rsbntrump _rsbntrump,,,,,,
_rsbntrump _rsbntrump _rsbntrump,,,,,,
_rsbntrump _rsbnusa,,,,,,
_rsbntrump trump,,,,,,
_rsbntrump trump trump,,,,,,
_rsbntrump2020 _rsbntrump2020,,,,,,
_rsbntrump45 _rsbntrump45,,,,,,
_rsbntrump45 _rsbntrump45 _rsbntrump45,,,,,,
_rsbnusa _rsbncross,,,,,,
_rsbnusa _rsbnlogo,,,,,,
_rsbnusa _rsbnmagahat,,,,,,
_rsbnusa _rsbnqanon,,,,,,
_rsbnusa _rsbntrump,,,,,,
_rsbnusa _rsbnusa,,,,,,
_rsbnusa _rsbnusa _rsbnusa,,,,,,
_rsbnusa _rsbnusa prepare2020_com,,,,,,
_rsbnusa _rsbnusa rsbnusa,,,,,,
_rsbnusa prepare2020_com,,,,,,
_rsbnusa prepare2020_com rsbnusa,,,,,,
_rsbnusa rsbnusa,,,,,,
_rsbnusa rsbnusa _rsbnusa,,,,,,
_rsbnusa2 _rsbndiamond,,,,,,
_rsbnusa2 _rsbndiamond _rsbnusa2,,,,,,
_rsbnusa2 _rsbnkag,,,,,,
_rsbnusa2 _rsbnpoflotus,,,,,,
_rsbnusa2 _rsbnpoflotus _rsbnpoflotus,,,,,,
_rsbnusa2 _rsbnredcalif,,,,,,
_rsbnusa2 _rsbnredcalif _rsbnredcalif,,,,,,
_rsbnusa2 _rsbntrump45,,,,,,
_rsbnusa2 _rsbnusa2,,,,,,
_rsbnusa2 _rsbnusa2 _rsbndiamond,,,,,,
_rsbnusa2 _rsbnusa2 _rsbnpoflotus,,,,,,
_rsbnusa2 _rsbnusa2 _rsbntrump45,,,,,,
_rsbnusa2 _rsbnusa2 _rsbnusa2,,,,,,
_rsbnusa2 michigan,,,,,,
_rsbnusa2 michigan gay,,,,,,
_rsbnusflag2 _rsbnusflag2,,,,,,
_rsbnusflag2 _rsbnusflag2 _rsbnusflag2,,,,,,
_rsbnwall _rsbnwall,,,,,,
abc msm,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
abc msm anti,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
abortion biden,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
abortionist biden,,,,,,
absentee ballot,,,,,,
absolutely absolutely,,,,,,
absolutely absolutely absolutely,,,,,,
absolutely joe,,,,,,
absolutely joe biden,,,,,,
absolutely lol,,,,,,
absolutely ðÿ,,,,,,
absolutely ðÿ ðÿ,,,,,,
acb amazing,,,,,,
acb trump2020,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
accomplish good,,,,,,
accomplish good send,,,,,,
accountable action,,,,,,
achievement middle,,,,,,
achievement middle east,,,,,,
acre nd,,,,,,
action force,,,,,,
action force creator,,,,,,
actor gate,,,,,,
actor gate want,,,,,,
ad biden,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
ad state,,,,,,
admin glorify,,,,,,
admin glorify magnify,,,,,,
administration make,,,,,,
admit communist,0.674199862463242,0.26967994498529685,-0.5393598899705937,-0.13483997249264842,-0.5393598899705937,0.26967994498529685
admit communist check,0.46475800154489,-0.3098386676965934,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,-0.3098386676965934
admit extensive,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
admit extensive voter,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
af1 af2,,,,,,
af1 come,,,,,,
af1 come canada,,,,,,
african american,,,,,,
african americans,,,,,,
ahead 197,,,,,,
ahead 197 pts,,,,,,
ai black,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
aint black,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
air force,,,,,,
air harris,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
air harris aka,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
airforce c32a,,,,,,
airforce c32a 90016,,,,,,
airforce halfway,,,,,,
airforce halfway canadian,,,,,,
airmen trump,,,,,,
aka hot,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
aka hot dog,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
aka hyena,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
aka hyena auschwitz,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
alberta canada,,,,,,
alex jones,,,,,,
algoruthem channel,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
algoruthem channel thumbs,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
alien trump,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
allow peoples,,,,,,
allow peoples business,,,,,,
allðÿ jedi,,,,,,
allðÿ jedi republic,,,,,,
alot people,0.4472135954999579,0.4472135954999579,-0.4472135954999579,-0.4472135954999579,-0.4472135954999579,0.4472135954999579
alter election,,,,,,
alter election result,,,,,,
amazing coverage,,,,,,
amazing man,,,,,,
amazing president,,,,,,
amazing president trump,,,,,,
amazing speaker,,,,,,
amazon com,,,,,,
amazon com shop,,,,,,
amen amen,,,,,,
amen amen amen,,,,,,
amen brother,,,,,,
amen god,,,,,,
amen thank,,,,,,
amen thank god,,,,,,
amendment 2nd,,,,,,
amendment 2nd amendment,,,,,,
amendment stake,,,,,,
amendment stake wake,,,,,,
america _rsbnusa2,,,,,,
america america,,,,,,
america american,0.7745966692414834,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934
america american people,0.7745966692414834,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934
america beacon,,,,,,
america beacon hope,,,,,,
america bear,,,,,,
america bear turn,,,,,,
america biden,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934
america cccp,,,,,,
america communist,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934
america country,,,,,,
america country stake,,,,,,
america cut,,,,,,
america cut rightwing,,,,,,
america donald,,,,,,
america donald trump,,,,,,
america family,,,,,,
america family face,,,,,,
america forever,,,,,,
america free,,,,,,
america god,,,,,,
america god bles,,,,,,
america god bless,,,,,,
america great,,,,,,
america great _rsbnusa2,,,,,,
america great trump,,,,,,
america greatest,,,,,,
america islamic,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.46475800154489
america islamic terrorism,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.46475800154489
america land,,,,,,
america land free,,,,,,
america let,,,,,,
america love,,,,,,
america love president,,,,,,
america make,,,,,,
america mexican,,,,,,
america need,,,,,,
america people,,,,,,
america pray,,,,,,
america pray president,,,,,,
