,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
bag head,0.0,0.704,0.704,0.704,0.704,0.704
bag head prison,0.0,0.704,0.704,0.704,0.704,0.704
bag reporter,0.704,0.704,0.704,0.704,0.704,0.0
ballot count,0.704,0.704,0.704,0.0,0.704,0.704
ballot count machine,0.704,0.704,0.704,0.0,0.704,0.704
ballot envelope,,,,,,
ballot envelope instead,,,,,,
ballot signature,,,,,,
ballot signature varifie,,,,,,
ballot true,0.704,0.704,0.704,0.0,0.704,0.704
banana republic,,,,,,
bank account,,,,,,
bank account fast,,,,,,
bar way,,,,,,
bar way hell,,,,,,
barack obama,,,,,,
barely graduate,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
barely graduate high,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
barrington declaration,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
barrington declaration doctor,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
barrington declaration real,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
base gender,0.704,0.0,0.704,0.704,0.704,0.704
base gender race,0.704,0.0,0.704,0.704,0.704,0.704
base legal,,,,,,
base legal proof,,,,,,
bash politician,,,,,,
bash politician country,,,,,,
battle lose,,,,,,
battle lose lose,,,,,,
bbc team,,,,,,
beat president,,,,,,
beat president rep,,,,,,
beautiful kamala,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848
beautiful kamala harris,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848
beautiful lady,,,,,,
beautiful lady wonderful,,,,,,
beautiful turkey,0.0,0.704,0.704,0.704,0.704,0.704
bee impeach,,,,,,
bee impeach office,,,,,,
beijing joe,0.704,0.704,0.704,0.0,0.704,0.704
beijing joe biden,,,,,,
beijing joe sell,0.704,0.704,0.704,0.0,0.704,0.704
believe 2024,0.704,0.704,0.704,0.0,0.704,0.704
believe 2024 win,0.704,0.704,0.704,0.0,0.704,0.704
believe eye,,,,,,
believe eye guy,,,,,,
believe president,,,,,,
believe president trump,,,,,,
believe realize,,,,,,
believe realize thing,,,,,,
believe say,0.0,0.704,0.704,0.704,0.704,0.704
believe say common,0.0,0.704,0.704,0.704,0.704,0.704
believe trump,0.704,0.704,0.704,0.0,0.704,0.704
believe trump wins,0.704,0.704,0.704,0.0,0.704,0.704
ben look,0.704,0.704,0.704,0.0,0.704,0.704
ben look sign,0.704,0.704,0.704,0.0,0.704,0.704
benjamin franklin,,,,,,
benjamin franklin say,,,,,,
best family,,,,,,
best president,,,,,,
best president america,,,,,,
best president love,,,,,,
bet don,0.0,0.704,0.704,0.704,0.704,0.704
bet don nt,0.0,0.704,0.704,0.704,0.704,0.704
bet just,,,,,,
bet just pardon,,,,,,
bet signature,,,,,,
bet signature verify,,,,,,
bible hand,0.0,0.704,0.704,0.704,0.704,0.704
bible hand posting,0.0,0.704,0.704,0.704,0.704,0.704
bid taxi,0.704,0.704,0.704,0.0,0.704,0.704
bid taxi need,0.704,0.704,0.704,0.0,0.704,0.704
biden 2020,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden 2020 2028,,,,,,
biden 2020 god,,,,,,
biden 2021,,,,,,
biden 2024,,,,,,
biden 35,,,,,,
biden 35 trump,,,,,,
biden administration,,,,,,
biden agenda,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden agenda moved,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden alive,0.0,0.704,0.704,0.704,0.704,0.704
biden alive lol,0.0,0.704,0.704,0.704,0.704,0.704
biden bee,,,,,,
biden bee impeach,,,,,,
biden believe,0.704,0.704,0.704,0.0,0.704,0.704
biden believe trump,0.704,0.704,0.704,0.0,0.704,0.704
biden ben,0.704,0.704,0.704,0.0,0.704,0.704
biden ben look,0.704,0.704,0.704,0.0,0.704,0.704
biden biden,,,,,,
biden biden biden,,,,,,
biden big,0.704,0.704,0.704,0.0,0.704,0.704
biden big irregularity,0.704,0.704,0.704,0.0,0.704,0.704
biden brain,0.0,0.704,0.704,0.704,0.704,0.704
biden brain old,0.0,0.704,0.704,0.704,0.704,0.704
biden celebration,0.704,0.704,0.704,0.0,0.704,0.704
biden celebration group,0.704,0.704,0.704,0.0,0.704,0.704
biden cenile,0.0,0.704,0.704,0.704,0.704,0.704
biden cenile old,0.0,0.704,0.704,0.704,0.704,0.704
