,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
_comm2 _yaya,,,,,,,,,,,,
_comm2 _yaya _yaya,,,,,,,,,,,,
_comm2 cc,,,,,,,,,,,,
_comm2 cc buffer1,,,,,,,,,,,,
_dance _bless,,,,,,,,,,,,
_dance _bless _bless,,,,,,,,,,,,
_dance _comm1,,,,,,,,,,,,
_dance _comm1 _comm2,,,,,,,,,,,,
_dance _dance,,,,,,,,,,,,
_dance _dance _bless,,,,,,,,,,,,
_dance _dance _dance,,,,,,,,,,,,
_dance _dance _love,,,,,,,,,,,,
_dance _dance _warcry,,,,,,,,,,,,
_dance _love,,,,,,,,,,,,
_dance _love _dance,,,,,,,,,,,,
_dance _warcry,,,,,,,,,,,,
_dance _warcry _warcry,,,,,,,,,,,,
_fired _buffer2,,,,,,,,,,,,
_fired _fire,,,,,,,,,,,,
_fired _fired,,,,,,,,,,,,
_fired _fired _fired,,,,,,,,,,,,
_fired _fired _flip,,,,,,,,,,,,
_fired _flip,,,,,,,,,,,,
_fired _flip _flip,,,,,,,,,,,,
_flappin _buffer2,,,,,,,,,,,,
_flappin _flappin,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
_flappin _flappin _flappin,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
_flip _flip,,,,,,,,,,,,
_flip _flip _flip,,,,,,,,,,,,
_giggles _bless,,,,,,,,,,,,
_giggles _bless _yaya,,,,,,,,,,,,
_giggles _buffer2,,,,,,,,,,,,
_giggles _buffer2 _comm1,,,,,,,,,,,,
_giggles _buffer2 _yaya,,,,,,,,,,,,
_giggles _giggle,,,,,,,,,,,,
_giggles _giggles,,,,,,,,,,,,
_giggles _giggles _giggle,,,,,,,,,,,,
_giggles _giggles _giggles,,,,,,,,,,,,
_giggles _giggles cute,,,,,,,,,,,,
_giggles _handshake,,,,,,,,,,,,
_giggles cute,,,,,,,,,,,,
_handshake 64,,,,,,,,,,,,
_handshake _buffer1,,,,,,,,,,,,
_handshake _buffer1 _bless,,,,,,,,,,,,
_handshake _comm1,,,,,,,,,,,,
_handshake _comm1 _comm2,,,,,,,,,,,,
_handshake _handshake,,,,,,,,,,,,
_handshake _handshake 64,,,,,,,,,,,,
_handshake _handshake _buffer1,,,,,,,,,,,,
_handshake _handshake _comm1,,,,,,,,,,,,
_handshake _handshake _handshake,,,,,,,,,,,,
_handshake _handshake stone,,,,,,,,,,,,
_handshake _handshake time,,,,,,,,,,,,
_handshake _love,,,,,,,,,,,,
_handshake _love _dance,,,,,,,,,,,,
_handshake _love _handshake,,,,,,,,,,,,
