,DH words,DH value,HS words,HS value,SH words,SH value,TR words,TR value,OT words,OT value,TX words,TX value
60,brain,2.59169539044233,retard,3.5894448574724964,risk,0.0,new,2.209308980156795,chy na,0.5909925285552992,fear,2.0877779432460746
61,evil,2.583824365934928,troll,3.588341912831309,roam,0.0,state,2.2071705067562237,democrats,0.5888094309853573,dem,2.061375094708576
62,chinese,2.545125328616463,demonrats,3.510818305485435,roam vienna,0.0,must,2.177347919021781,man,0.5848324367822493,criminal,2.0163551214587647
63,weak,2.534180196989955,brain,3.4430892076662607,rocket,0.0,black,2.1548981523028066,unlike,0.5830960799742209,stfu,2.0
64,nt,2.5319697589956816,part,3.392512730124763,roar,0.0,show,2.111102960698992,sentence,0.5813078663602574,diaperdon,1.9742834563583869
65,great,2.524321106764773,right,3.3635575914355598,robert,0.0,right,2.1048552121283954,2024 2028,0.5774915428691552,crazy,1.922105824810171
66,devil,2.5207739741652224,libtard,3.352735087926292,rock,0.0,truth,2.088904868832622,electric,0.5771274351262966,dog,1.912461065399472
67,snowflake,2.5201633496351183,bitch,3.3369764001688216,role,0.0,sniff,2.037855760144077,global,0.574792811880986,suck ðÿ,1.8744162339674493
68,head,2.485172273409053,lives matter,3.3171984865721007,rocky,0.0,defund,2.035441789863481,protect president,0.5644019401713791,ðÿ choice,1.8744162339674493
69,crack,2.472579280333549,supporter,3.310668158292069,rise taxi,0.0,ballot,2.0266508918296613,300,0.5643443941795157,lie,1.8709818913315932
70,bad,2.471859504543901,screw,3.260471606818224,000,0.0,believe,2.0212775550106565,enjoy,0.5640340843998334,hole,1.840924149206137
71,lied spy,2.368827877193533,stupid,3.213755104473453,rightðÿž,0.0,take,2.0055566323241525,pathetic,0.5602830088440055,troll,1.826084455494564
72,crazy,2.350750627643324,ccp,3.1983205889701605,rid,0.0,demon,2.0,phony,0.5583409005093323,fk,1.815501254445798
73,virus,2.311507220971153,must,3.1566248096096894,rest,0.0,frack,2.0,chair,0.5574834681946046,moon,1.8077719780933164
74,fiden,2.294808332693688,lose,3.154731701305506,restaurant,0.0,rule,1.9875225822203424,lock lock,0.5574603903801592,man suck,1.806799335977718
75,lied,2.29431017526086,hell,3.152400245695725,restore,0.0,msm,1.9855042209678848,innocent,0.552015977173874,woman,1.7998125378396623
76,kameltoe,2.274556062541632,take,3.1490811457744297,result,0.0,give,1.9836660782955888,2028,0.550207313239987,video,1.7946473854391964
77,spy,2.2638010751665574,fake news,3.099803847507816,retard,0.0,mafia,1.9543800124550312,na,0.5490497813346508,fiden,1.7883299234211387
78,democrats,2.244259171379869,crooked,3.0585639345840447,retire,0.0,year,1.9474235214897733,young people,0.5447678116946182,retire,1.7780031289119949
79,bitch,2.2372985540414168,socialism part,3.057827769467089,retirement,0.0,run,1.941065542481265,communist,0.5383831195757444,chinese,1.7767305282648305
80,ca,2.2315736368479624,part save,3.057827769467089,return,0.0,evil,1.9371809393811923,investigate,0.5364237943712986,liar marxist,1.7717619963227509
81,sanchez,2.2296062068649785,really,3.0577880859717976,return god,0.0,high,1.9302663492204557,track,0.5195491751541726,butt,1.7409338829576575
82,human,2.2180159614390837,owns,3.04993365140975,revolution,0.0,please,1.9090414685200277,canada,0.5163714094272679,shit hole,1.7251070774172863
83,dems,2.2045426463993305,evil,3.0445773856084166,rica,0.0,laptop,1.9086033518448933,billion,0.5126403543854686,americans,1.7240565605771403
84,xinping,2.19906258278129,every,3.029205775940052,rich,0.0,way,1.904901317062477,treason,0.4972224747322358,commie,1.715319791833349
85,send,2.1778958422603187,crime,2.9905964845189583,rich mean,0.0,check,1.8943614026883109,take message,0.4971199517102348,marxist,1.695397689678832
86,troll,2.159136649095552,let,2.9825180079327054,rid corrupt,0.0,steal election,1.8614697582031643,veteran,0.4970584549078907,pedophiles,1.687277459600694
87,pay,2.131363760163248,give,2.962615856647891,righteousness,0.0,world,1.8571823176925248,death,0.4949102764718585,sell,1.6762891193953076
88,let,2.1028570968251694,bad,2.957006367917482,rid democrats,0.0,rise taxi,1.839018212559829,plan,0.4895397860171727,corruption,1.6755496174054485
89,meltdown,2.097349444716068,loser,2.955194828731634,ride,0.0,dance,1.8239931187699656,lyin,0.4828663687967301,ass,1.675237945938869
90,hiden,2.090928528256557,devil,2.920611505408723,ride red,0.0,red,1.8199965235706943,mr president,0.4796389321214718,aka,1.6692093128167071
91,old,2.071110673795525,shut,2.9103520330786345,rider,0.0,start,1.8012726603139686,begin,0.4795979657851225,aoc,1.6537277368502403
92,47 year,2.063690464045359,god,2.901888771414448,rider stop,0.0,terrorist,1.7860666146587465,constitution,0.4775647123794884,country,1.651100266203186
93,win,2.001235341650734,kid,2.844648978739765,ridiculous,0.0,ready,1.7652896684867374,matter blm,0.4760148644993798,guy,1.6499074778489458
94,fraud,2.0,friend,2.820892947786276,rig,0.0,dem,1.749623987951641,men,0.474017791440222,american,1.64205834861765
95,satan,2.0,marxism,2.812872413115657,rig election,0.0,send,1.738933882151394,kamel,0.4733069681670468,please,1.6286613995455692
96,demon,2.0,shit,2.7865636472482653,rigged,0.0,rally,1.731628225786244,country,0.4714558104932214,fake,1.6113048219405108
97,47,1.9903453576417076,money,2.786179749344088,right,0.0,coronavirus hoax,1.7300553704240251,number,0.4704461796681713,gross,1.559152428072616
98,tear,1.9745686358929853,radical,2.785925548721026,right life,0.0,dictatorship,1.7164898252091805,die,0.4703076487746573,liberal,1.5559036291159782
99,diaperdon,1.9742834563583869,cry,2.72157985790817,right side,0.0,test,1.7159775260350152,gun,0.4694847033247142,cry,1.549964722235488
100,beautiful,1.9427890876691607,stop,2.680797381339328,right uh,0.0,chinese,1.7153491303838873,strong grey,0.4671915397197647,thing,1.536213602437001
101,american,1.9284525019912035,crack,2.6795208680122657,roll,0.0,dead,1.7122201421126777,000,0.4617997538617678,basement,1.5349250268782124
102,election,1.914031809674823,leftist,2.668193443649398,rsbn _rsbnlogo,0.0,steal,1.705382027632747,nyc,0.4615114112389266,wonder,1.5326910649780277
103,fall,1.8853132411000164,creepy,2.654739122755573,rollingwithdjadam,0.0,crooked,1.6999766959049571,kiss,0.461040566818321,screw,1.525058298714425
104,con man,1.882345160327889,puppet,2.6372445310771777,rsbntrump,0.0,elect,1.6751440245408489,obiden,0.4584178544766444,new,1.5226004717579873
105,plan,1.8755918405399048,rally,2.6286799708487294,run state,0.0,money,1.671731458603876,celebrate,0.4576805626352333,poo,1.5083841192898992
106,son,1.868402278436566,call,2.6189569779461497,run score,0.0,coronavirus,1.6508585012105712,grey,0.456275834972365,owns,1.494299835861644
107,year,1.8614617881933768,communism,2.609708432545265,run president,0.0,full,1.6500977434931194,amirica,0.4494255991753593,brain dead,1.4934758634526195
108,dumb,1.847944050369112,please,2.603030362923725,run country,0.0,party,1.6480180025243578,amirica great,0.4494255991753593,snowflake,1.485921607483908
109,swamp,1.8276197861330024,family,2.5918561195915037,run,0.0,pardon,1.64757747948887,matter blue,0.4494255991753593,choice,1.483369384553898
110,meltdown progress,1.8272266505065715,guy,2.587866849897718,rule,0.0,breaking news,1.6472358894299344,attack vienna,0.4451713143746679,lose,1.461930125546341
111,magat meltdown,1.8272266505065715,must pay,2.5788934992405945,ruin california,0.0,crack,1.638811423060918,buy sell,0.4429753779199727,pardon,1.4445113007986663
112,failure,1.8181414649364005,ruin,2.521570990776108,ruin,0.0,plan,1.6230854427584482,communist chinese,0.4429753779199727,even,1.4354947895807195
113,fk,1.815501254445798,crime family,2.511346097672738,rudy,0.0,supporter,1.6126606959604604,brave,0.4425998497401798,dothefive,1.4309876452163168
114,fake,1.795002320019233,punish,2.459343508194308,rsbnâ,0.0,american,1.611470673392485,please,0.4421667981180467,job,1.4304959831258124
115,run,1.7639484806818222,freedom,2.4575505323232627,rsbnusflag2 _rsbnusflag2,0.0,puppet,1.6102387737879496,butt,0.4418664580525159,disgrace,1.4274368306526235
116,progress,1.761312049580443,hiden,2.450193136808388,rsbnusflag2,0.0,dems,1.6070045559439403,like,0.4410608961398602,liar,1.4251840261400326
117,white,1.7589518391439145,ever,2.4252898859451424,rsbnusa2 _rsbnusa2,0.0,round corner,1.6038863065427622,blue lives,0.439935479607466,žðÿ,1.4165310102221038
118,large,1.7376421145147434,california,2.422781874602978,rsbnusa2,0.0,hoax round,1.6038863065427622,voting court,0.4371046038396474,town,1.410646191939346
119,without,1.7371067209758846,great,2.4175587835916703,rsbnusa _rsbnusa,0.0,medium,1.5909963907284848,court house,0.4371046038396474,lmao,1.4055156521325665
120,losers,1.7318524058777005,transgender,2.390606463527277,rsbnusa,0.0,retard,1.5894448574724964,mr,0.4365161261046456,corona,1.4035128751823698
121,cheat,1.7260231728947404,office,2.386292494813916,rsbntrump45,0.0,crush,1.574245454311625,young,0.4317703451880034,swamp,1.3988184541103206
122,dem,1.7163301140958898,voter,2.3746139288485417,russia,0.0,republican,1.5735427120531265,divide,0.4316770015743853,rat,1.3963322382294368
123,test,1.7159775260350152,fox,2.3644035932623386,russian,0.0,corner,1.5725352940466917,offer,0.4316770015743853,dirty,1.3889001165019177
124,boo,1.711547871849947,rats,2.3398219919689924,russian france,0.0,long,1.5695954245299988,second,0.4315446040918457,garbage,1.3805496635413823
125,talk,1.7089807303824505,time,2.327032639164613,safe islamic,0.0,breaking,1.5642322799327375,hiden,0.427321508243805,shitmer,1.3795511778628742
126,buy,1.7053736284416507,ugly,2.321935166099534,salt must,0.0,admit,1.557073444681322,money,0.4236956861763626,energy,1.3721602590637063
127,retire,1.7026376207304952,race,2.3031035220899665,salt,0.0,man,1.5569559322281976,mail voting,0.4185474512800591,eat,1.3685035775913168
128,bust,1.694001516789566,satan,2.3024592703573434,saith,0.0,funeral,1.5554063585446134,protect,0.4182145544147108,globalist,1.3617318714486184
129,buck fiden,1.690025278252799,dumb,2.280849074518572,saginaw enroute,0.0,happen,1.544331651956941,individual,0.4161048681010283,friend,1.3601959134236958
130,already,1.6737759946256738,buy,2.265435307227767,saginaw,0.0,work,1.5423293758815255,message,0.4160161097435809,mars,1.351194409555561
131,trumper,1.6702636047515709,brain dead,2.2630765023538078,safety deserve,0.0,gobble,1.5363366252233497,agenda,0.4153549718905095,take,1.351062606741145
132,stuff,1.6698331581192156,sanchez,2.2296062068649785,safety,0.0,become,1.5292786551613582,supreme court,0.4152449890698668,jesus,1.350774078836544
133,fake news,1.6619630779869443,day,2.207739756093008,safe,0.0,raise,1.528669829779913,corrupt,0.4146725707866987,lives matter,1.3487525164576268
134,con,1.6606359753741105,destroy country,2.201560510243615,ryan,0.0,break,1.5209840562141284,little girl,0.4127039402732261,high,1.330069198723624
135,ðÿ,1.6293145470271355,xinping,2.19906258278129,saddle,0.0,every,1.5147859223848976,supreme,0.4119882107321828,žðÿ žðÿ,1.328748678890589
136,liberal,1.6277210366323656,sleepy,2.1931441215753003,sad,0.0,us,1.5010157754248987,enemy,0.4111225204466627,stop,1.3164876481921732
